,State,Postal-abbr.,Postal Code
0,Alabama,AL,01
2,Alaska,AK,02
4,Arizona,AZ,04
6,Arkansas,AR,05
8,California,CA,06
10,Colorado,CO,08
12,Connecticut,CT,09
14,Delaware,DE,10
16,District of Columbia,DC,11
18,Florida,FL,12
20,Georgia,GA,13
22,Hawaii,HI,15
24,Idaho,ID,16
26,Illinois,IL,17
28,Indiana,IN,18
30,Iowa,IA,19
32,Kansas,KS,20
34,Kentucky,KY,21
36,Louisiana,LA,22
38,Maine,ME,23
40,Maryland,MD,24
42,Massachusetts,MA,25
44,Michigan,MI,26
46,Minnesota,MN,27
48,Mississippi,MS,28
50,Missouri,MO,29
52,Montana,MT,30
1,Nebraska,NE,31
3,Nevada,NV,32
5,New Hampshire,NH,33
7,New Jersey,NJ,34
9,New Mexico,NM,35
11,New York,NY,36
13,North Carolina,NC,37
15,North Dakota,ND,38
17,Ohio,OH,39
19,Oklahoma,OK,40
21,Oregon,OR,41
23,Pennsylvania,PA,42
27,Rhode Island,RI,44
29,South Carolina,SC,45
31,South Dakota,SD,46
33,Tennessee,TN,47
35,Texas,TX,48
37,Utah,UT,49
39,Vermont,VT,50
41,Virginia,VA,51
45,Washington,WA,53
47,West Virginia,WV,54
49,Wisconsin,WI,55
51,Wyoming,WY,56
25,Puerto Rico,PR,72
43,Virgin Islands,VI,78
